probe,gene
1411_at,CRYBA1
1412_at,CRYBA2
1413_at,CRYBA4
1414_at,CRYBB1
1415_at,CRYBB2
1416_at,CRYBB2P1
1417_at,CRYBB3
1418_at,CRYGA
1419_at,CRYGB
1420_at,CRYGC
1421_at,CRYGD
1427_at,CRYGS
1428_at,CRYM
1429_at,CRYZ
1431_at,CS
1432_at,MAPK14
1434_at,CSE1L
1435_at,CSF1
1436_at,CSF1R
1437_at,CSF2
1438_at,CSF2RA
1439_at,CSF2RB
1440_at,CSF3
1441_at,CSF3R
1443_at,CSH2
1444_at,CSHL1
1445_at,CSK
1446_at,CSN1S1
1447_at,CSN2
1448_at,CSN3
1452_at,CSNK1A1
1453_at,CSNK1D
1454_at,CSNK1E
1455_at,CSNK1G2
1456_at,CSNK1G3
1457_at,CSNK2A1
1459_at,CSNK2A2
1460_at,CSNK2B
1462_at,VCAN
1463_at,NCAN
1464_at,CSPG4
1465_at,CSRP1
1466_at,CSRP2
1468_at,SLC25A10
1469_at,CST1
1470_at,CST2
1471_at,CST3
1472_at,CST4
1473_at,CST5
1474_at,CST6
1475_at,CSTA
1476_at,CSTB
1477_at,CSTF1
1478_at,CSTF2
1479_at,CSTF3
1482_at,NKX2-5
1486_at,CTBS
1487_at,CTBP1
1488_at,CTBP2
1489_at,CTF1
1490_at,CCN2
1491_at,CTH
1493_at,CTLA4
1495_at,CTNNA1
1496_at,CTNNA2
1497_at,CTNS
1499_at,CTNNB1
1500_at,CTNND1
1501_at,CTNND2
1503_at,CTPS1
1504_at,CTRB1
1506_at,CTRL
1508_at,CTSB
1509_at,CTSD
1510_at,CTSE
1511_at,CTSG
1512_at,CTSH
1513_at,CTSK
1514_at,CTSL
1515_at,CTSV
1518_at,CTSLP8
1519_at,CTSO
1520_at,CTSS
1521_at,CTSW
1522_at,CTSZ
1523_at,CUX1
1524_at,CX3CR1
1525_at,CXADR
1527_at,TEX28
1528_at,CYB5A
1534_at,CYB561
1535_at,CYBA
1536_at,CYBB
1537_at,CYC1
1538_at,CYLC1
1539_at,CYLC2
1540_at,CYLD
1543_at,CYP1A1
1544_at,CYP1A2
1545_at,CYP1B1
1548_at,CYP2A6
1549_at,CYP2A7
1551_at,CYP3A7
1553_at,CYP2A13
1555_at,CYP2B6
1556_at,CYP2B7P
1557_at,CYP2C19
1558_at,CYP2C8
1559_at,CYP2C9
1562_at,CYP2C18
1564_at,CYP2D7
1571_at,CYP2E1
1572_at,CYP2F1
1573_at,CYP2J2
1576_at,CYP3A4
1577_at,CYP3A5
1579_at,CYP4A11
1580_at,CYP4B1
1581_at,CYP7A1
1582_at,CYP8B1
1583_at,CYP11A1
1584_at,CYP11B1
1585_at,CYP11B2
1586_at,CYP17A1
1587_at,ADAM3A
1588_at,CYP19A1
1589_at,CYP21A2
1591_at,CYP24A1
1592_at,CYP26A1
1593_at,CYP27A1
1594_at,CYP27B1
1595_at,CYP51A1
1600_at,DAB1
1601_at,DAB2
1602_at,DACH1
1603_at,DAD1
1604_at,CD55
1605_at,DAG1
1606_at,DGKA
1607_at,DGKB
1608_at,DGKG
1609_at,DGKQ
1610_at,DAO
1611_at,DAP
1612_at,DAPK1
1613_at,DAPK3
1615_at,DARS
1616_at,DAXX
1618_at,DAZL
1620_at,BRINP1
1621_at,DBH
1622_at,DBI
1627_at,DBN1
1628_at,DBP
1629_at,DBT
1630_at,DCC
1632_at,ECI1
1633_at,DCK
1634_at,DCN
1635_at,DCTD
1636_at,ACE
1638_at,DCT
1639_at,DCTN1
1641_at,DCX
1642_at,DDB1
1643_at,DDB2
1644_at,DDC
1645_at,AKR1C1
1646_at,AKR1C2
1647_at,GADD45A
1649_at,DDIT3
1650_at,DDOST
1652_at,DDT
1653_at,DDX1
1654_at,DDX3X
1655_at,DDX5
1656_at,DDX6
1657_at,DMXL1
1659_at,DHX8
1660_at,DHX9
1662_at,DDX10
1663_at,DDX11
1665_at,DHX15
1666_at,DECR1
1669_at,DEFA4
1670_at,DEFA5
1671_at,DEFA6
1672_at,DEFB1
1674_at,DES
1675_at,CFD
1676_at,DFFA
1677_at,DFFB
1678_at,TIMM8A
1687_at,GSDME
1690_at,COCH
1716_at,DGUOK
1717_at,DHCR7
1718_at,DHCR24
1719_at,DHFR
1720_at,LOC1720
1723_at,DHODH
1725_at,DHPS
1727_at,CYB5R3
1728_at,NQO1
1729_at,DIAPH1
1730_at,DIAPH2
1731_at,42248
1733_at,DIO1
1734_at,DIO2
1735_at,DIO3
1736_at,DKC1
1737_at,DLAT
1738_at,DLD
1739_at,DLG1
1740_at,DLG2
1741_at,DLG3
1742_at,DLG4
1743_at,DLST
1745_at,DLX1
1746_at,DLX2
1747_at,DLX3
1748_at,DLX4
1749_at,DLX5
1750_at,DLX6
1755_at,DMBT1
1756_at,DMD
1757_at,SARDH
1758_at,DMP1
1759_at,DNM1
1760_at,DMPK
1761_at,DMRT1
1762_at,DMWD
1763_at,DNA2
1767_at,DNAH5
1768_at,DNAH6
1769_at,DNAH8
1770_at,DNAH9
1773_at,DNASE1
1774_at,DNASE1L1
1775_at,DNASE1L2
1776_at,DNASE1L3
1777_at,DNASE2
1778_at,DYNC1H1
1780_at,DYNC1I1
1781_at,DYNC1I2
1783_at,DYNC1LI2
1785_at,DNM2
1786_at,DNMT1
1787_at,TRDMT1
1788_at,DNMT3A
1789_at,DNMT3B
1791_at,DNTT
1793_at,DOCK1
1794_at,DOCK2
1795_at,DOCK3
1796_at,DOK1
1797_at,DXO
1798_at,DPAGT1
1800_at,DPEP1
1801_at,DPH1
1802_at,DPH2
1803_at,DPP4
1804_at,DPP6
1805_at,DPT
1806_at,DPYD
1807_at,DPYS
1808_at,DPYSL2
1809_at,DPYSL3
1810_at,DR1
1811_at,SLC26A3
1812_at,DRD1
1813_at,DRD2
1814_at,DRD3
1815_at,DRD4
1816_at,DRD5
1819_at,DRG2
1820_at,ARID3A
1821_at,DRP2
1822_at,ATN1
1823_at,DSC1
1824_at,DSC2
1825_at,DSC3
1826_at,DSCAM
1827_at,RCAN1
1828_at,DSG1
1829_at,DSG2
1830_at,DSG3
1831_at,TSC22D3
1832_at,DSP
1833_at,EPYC
1834_at,DSPP
1836_at,SLC26A2
1837_at,DTNA
1838_at,DTNB
1839_at,HBEGF
1840_at,DTX1
1841_at,DTYMK
1842_at,ECM2
1843_at,DUSP1
1844_at,DUSP2
1845_at,DUSP3
1846_at,DUSP4
1847_at,DUSP5
1848_at,DUSP6
1849_at,DUSP7
1850_at,DUSP8
1852_at,DUSP9
1854_at,DUT
1855_at,DVL1
1856_at,DVL2
1857_at,DVL3
1859_at,DYRK1A
1861_at,TOR1A
1869_at,E2F1
1870_at,E2F2
1871_at,E2F3
1874_at,E2F4
1875_at,E2F5
1876_at,E2F6
1877_at,E4F1
1879_at,EBF1
1880_at,GPR183
1889_at,ECE1
1890_at,TYMP
1891_at,ECH1
1892_at,ECHS1
1893_at,ECM1
1894_at,ECT2
1896_at,EDA
1901_at,S1PR1
1902_at,LPAR1
1903_at,S1PR3
1906_at,EDN1
1907_at,EDN2
1908_at,EDN3
1909_at,EDNRA
1910_at,EDNRB
1912_at,PHC2
1915_at,EEF1A1
1917_at,EEF1A2
1933_at,EEF1B2
1936_at,EEF1D
1937_at,EEF1G
1938_at,EEF2
1939_at,EIF2D
1942_at,EFNA1
1943_at,EFNA2
1944_at,EFNA3
1945_at,EFNA4
1946_at,EFNA5
1947_at,EFNB1
1948_at,EFNB2
1949_at,EFNB3
1950_at,EGF
1951_at,CELSR3
1952_at,CELSR2
1953_at,MEGF6
1954_at,MEGF8
1955_at,MEGF9
1956_at,EGFR
1958_at,EGR1
1959_at,EGR2
1960_at,EGR3
1961_at,EGR4
1962_at,EHHADH
1964_at,EIF1AX
1965_at,EIF2S1
1967_at,EIF2B1
1968_at,EIF2S3
1969_at,EPHA2
1974_at,EIF4A2
1975_at,EIF4B
1977_at,EIF4E
1978_at,EIF4EBP1
1979_at,EIF4EBP2
1981_at,EIF4G1
1982_at,EIF4G2
1983_at,EIF5
1984_at,EIF5A
1990_at,CELA1
1991_at,ELANE
1992_at,SERPINB1
1993_at,ELAVL2
1994_at,ELAVL1
1995_at,ELAVL3
1996_at,ELAVL4
1997_at,ELF1
1998_at,ELF2
1999_at,ELF3
2000_at,ELF4
2001_at,ELF5
2002_at,ELK1
2004_at,ELK3
2005_at,ELK4
2006_at,ELN
2009_at,EML1
2010_at,EMD
2011_at,MARK2
2012_at,EMP1
2013_at,EMP2
